"Zona","Precio (€/mes)","Habitaciones","Baños","Metros cuadrados","Planta","Ubicación","Caracteristicas","Extras","Contacto","Telefono","Detalles contacto","Descripcion","Images","ref. Fotocasa","url"
"Martorell","810","4","2","101","","Ático en  Sant Genis De Rocafort / Martorell","Tipo de inmueble : Ático, Estado : Casi nuevo, Antigüedad : De 10 a 20 años","Armarios, Ascensor, Calefacción, Cocina Equipada, Garaje Privado, Lavadero, No amueblado, Parking comunitario, Puerta Blindada, Terraza, Z. Comunitaria","Inveriba","932934650","Referencia : 1455 Contacto: Inveriba","Ponemos en alquiler un piso en Martorell, Barcelona. Dispone de 101 m² distribuidos en el salón-comedor con balcón, 4 habitaciones, cocina con lavadero y 2 baños con bañera. Finca con ascensor. Esta vivienda dispone de una plaza de aparcamiento vinculada, el importe del cual (45 €  mes) no está incluido en el precio. El piso tiene colegios, bancos y farmacia cercanos.  Se encuentra en una zona resindecial muy tranquila.Para concertar una visita deja tus datos en esta web y el comercial de la zona contactará tan pronto como sea posible.REQUISITOS PARA PODER REALIZAR UNA VISITA- Al menos uno de los inquilinos debe tener contrato indefinido.- La suma de los ingresos de los inquilinos debe ser al menos de 2.400€ para este inmueble en concreto.","https://d.inmofactory.com/1/93528/15267820/194207338.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15267820/194207339.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15267820/194207340.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15267820/194207341.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15267820/194207342.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15267820/194207343.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15267820/194207344.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15267820/194207345.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15267820/194207346.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15267820/194207347.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15267820/194207348.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15267820/194207349.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15267820/194207350.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15267820/194207351.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15267820/194207352.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15267820/194207353.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15267820/194207354.jpg/690x518/p_1","148132394","https://www.fotocasa.es/vivienda/martorell/calefaccion-parking-terraza-zona-comunitaria-ascensor-parking-se-aceptan-mascotas-no-amueblado-martorell-148132394?RowGrid=25&tti=3&opi=300"
"Martorell","800","3","2","75","3ª","Piso en Centro / Martorell","Tipo de inmueble : Piso, Planta : 3ª planta","","Anuncio Particular","#","","Piso en alquiler amueblado con plaza de parking y piscina","https://d.fotocasa.es/anuncio/2019/01/06/149532936/460958582.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2019/01/06/149532936/460958583.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2019/01/06/149532936/460958584.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2019/01/06/149532936/460958585.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2019/01/06/149532936/460958586.jpg/690x518/p_1","149532936","https://www.fotocasa.es/vivienda/martorell/martorell-149532936?RowGrid=26&tti=3&opi=300"
"Sant Esteve Sesrovires","1250","3","3","135","","Casa adosada en  / Sant Esteve Sesrovires","Tipo de inmueble : Casa adosada","Aire acondicionado, Amueblado, Armarios, Ascensor, Calefacción, Electrodomésticos, Horno, Internet, Jardín Privado, Lavadero, Lavadora, Microondas, Nevera, Parking comunitario, Parquet, Piscina comunitaria, Suite - con baño, Terraza, Videoportero, Z. Comunitaria","Véronique, particular","644384162","","Casa adosada (135 m2), 2 plantas, 3 y 4 vientos, 2 terrazas (24 y 15 m2), 3 habitaciones y espacio de estudio, 3 baños, vestidor y múltiples armarios empotrados, más muebles de gran calidad. Jardín privado (60 m2) con salida a zonas comunitarias equipadas de 2 piscinas. Plaza de parking privada (17 m2) con acceso comunitario. Entorno natural con vistas a Montserrat, viñas y Golf de Barcelona. Gran proximidad a Colegio Internacional Ágora. Acceso rápido al complejo industrial de la SEAT y empresas satélites.","https://d.fotocasa.es/anuncio/2018/12/30/149482591/460197560.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2018/12/30/149482591/460197554.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2018/12/30/149482591/460197555.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2018/12/30/149482591/460197558.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2018/12/30/149482591/460197562.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2018/12/30/149482591/460197559.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2018/12/30/149482591/460197556.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2018/12/30/149482591/460197553.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2018/12/30/149482591/460197561.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2018/12/30/149482591/460197552.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2018/12/30/149482591/460197557.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2018/12/30/149482591/460197548.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2018/12/30/149482591/460197549.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2018/12/30/149482591/460197547.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2018/12/30/149482591/460197551.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2018/12/30/149482591/460197550.jpg/690x518/p_1","149482591","https://www.fotocasa.es/vivienda/sant-esteve-sesrovires/aire-acondicionado-calefaccion-jardin-terraza-zona-comunitaria-ascensor-amueblado-parking-internet-piscina-sant-esteve-sesrovires-149482591?RowGrid=27&tti=3&opi=300"
"Castellví de Rosanes","950","3","2","195","","Casa adosada en  Avinguda Nostra Senyora De Montserrat 25 / Castellví de Rosanes","Tipo de inmueble : Casa adosada, Estado : Muy buen estado, Antigüedad : De 5 a 10 años","Aire acondicionado, Armarios, Balcón, Calefacción, Electrodomésticos, Garaje Privado, Horno, Jardín Privado, Microondas, Parquet, Terraza, Trastero","Javier, particular","629964539","","En centro de la encantadora poblacion de Castellvi de Rosanes encontramos esta maravillosa y exclusiva casa unifamiliar de gran diseño, con excepcionales acabados y magníficos espacios. Concebida en varios niveles, más garage, la distribución de la misma permite ser adaptable a cada necesidad gracias con un magnífico sistema de puertas correderas de gran funcionalidad. El sistema es flexible y permite diferentes posibilidades, residencial o profesional-residencial. No le falta detalle. La excepcional vivienda está ubicada cerca de todos los servicios, medico, colegios, farmacia, hípica y agradables caminos para pasear junto a Collserola o el rio Anoia. Castellvi de Rosanes es un municipio de la comarca del Baix LLobregat está situado a 20 minutos de Barcelona, lindando con Sant Esteve Sesrovires y Gélida. Su excelente conectividad con las redes viarias y ferroviarias nacionales y regionales, esta localidad permite, las ventajas de la proximidad con una gran zona urbana como Barcelona, con la calidad de vida que aporta residir en un pequeño y tranquilo municipio rodeado de bosques. ¡Hay que verla!","https://d.fotocasa.es/anuncio/2018/03/21/146326135/410934841.jpg/690x518/p_1","146326135","https://www.fotocasa.es/vivienda/castellvi-de-rosanes/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-castellvi-de-rosanes-146326135?RowGrid=28&tti=3&opi=300"
"Castellví de Rosanes","3900","7","4","350","","Chalet en Sant Esteve - Castellvi, Zona De - Castellví De Rosanes / Castellví de Rosanes","Tipo de inmueble : Chalet, Estado : Muy buen estado","Aire acondicionado, Amueblado, Armarios, Cocina Equipada, Electrodomésticos, Garaje Privado, Horno, Internet, Jardín Privado, Lavadero, Lavadora, Microondas, Nevera, Piscina, Suite - con baño, Terraza, Trastero, TV, Vistas a la montaña","Martos Clayton","932887514","Referencia : WE-2350 Contacto: Martos Clayton","Magnífica casa unifamiliar en muy bien ubicada en la localidad de Castellví de Rosanes. La vivienda consta de 350 m2 y una parcela de 7.100 m2 aproximadamente. Esta distribuida en 3 plantas, dispone de 7 dormitorios y 4 baños. En la entrada principal tenemos un amplio hall que nos lleva a diferentes partes de la casa como es un salón-comedor con chimenea, una amplia cocina con salida directa al jardín por la parte trasera de la casa donde podremos disfrutar de un comedor de verano, una habitación con chimenea y un aseo de cortesía. Subiendo a la segunda planta encontramos 4 dormitorios dobles, de los cuales 3 son dobles y uno individual, uno de ellos tipo suite con baño completo y otro baño a parte en la misma planta. En la tercera y última planta encontramos dos habitaciones más, una de ellas doble. Todas las habitaciones son exteriores, disfrutan de mucha luz y desde ellas podemos ver las estupendas vistas del terreno y jardín que rodea la casa. También dispone de un gran garaje con capacidad para 5 coches. Un bello lugar donde vivir, con un extraordinario terreno a su alrededor de 7.100 m2 de parcela, amplia piscina, zona de chill out, zona barbacoa, trasteros, caballerizas, pista de paddel, y una preciosa entrada que nos conduce a la puerta principal de la casa. Es una vivienda que ha sido restaurada pero mantiene estilos de épocas anteriores. Dispone de licencia turística lo cual es un valor añadido de esta propiedad ya que se puede explotar como negocio. Castellví de Rosanes es un municipio limítrofe con Martorell. Se encuentra en un entorno natural y situado a 30 km de Barcelona ciudad. La zona cuenta con tiendas y supermercados para todo tipo de necesidades, centro médico e importantes Hospitales cercanos, líneas de autobús, taxi, RENFE y Ferrocarriles de la Generalitat en Martorell, colegios internacionales, campo de golf y otros servicios. Muy cerca del Ayuntamiento y de la policía.","https://d.inmofactory.com/1/111302/16098197/211805523.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805530.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805487.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805474.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805491.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805496.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805498.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805500.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805505.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805510.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805515.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805520.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805534.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805537.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805581.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805588.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805592.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805595.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805603.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805610.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805621.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805624.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805627.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805634.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805659.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805672.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805683.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805693.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805712.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805721.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805730.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805736.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805743.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805750.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805883.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805894.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805644.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805618.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805652.jpg/690x518/p_1, https://d.inmofactory.com/1/111302/16098197/211805701.jpg/690x518/p_1","149398648","https://www.fotocasa.es/vivienda/castellvi-de-rosanes/aire-acondicionado-parking-jardin-terraza-trastero-piscina-amueblado-television-internet-castellvi-de-rosanes-149398648?RowGrid=29&tti=3&opi=300"
"Abrera","800","3","","97","","Chalet en Calle Goya / Abrera","Tipo de inmueble : Chalet","Amueblado, Armarios, Cocina Equipada, Electrodomésticos, Horno, Jardín Privado, Microondas, Nevera, Terraza","Estudi Fort Pienc 2012","932998125","Referencia : ABCN-0700-C Contacto: Estudi Fort Pienc","ABRERA Casa de 97m2 en un terreno de 300m2. Consta de 3 habitaciones (2 dobles y 1 individual), cocina equipada con nevera, baño, salón-comedor, terraza y zona de barbacoa. Se entrega semi amueblada.  La zona dispone de Estación de Tren y Autobuses.","https://d.inmofactory.com/1/96144/16119951/212303573.jpg/690x518/p_1, https://d.inmofactory.com/1/96144/16119951/213952987.jpg/690x518/p_1, https://d.inmofactory.com/1/96144/16119951/213952989.jpg/690x518/p_1, https://d.inmofactory.com/1/96144/16119951/213952994.jpg/690x518/p_1, https://d.inmofactory.com/1/96144/16119951/213952998.jpg/690x518/p_1, https://d.inmofactory.com/1/96144/16119951/213953004.jpg/690x518/p_1, https://d.inmofactory.com/1/96144/16119951/213953008.jpg/690x518/p_1","149432550","https://www.fotocasa.es/vivienda/abrera/jardin-terraza-amueblado-se-aceptan-mascotas-calle-goya-149432550?RowGrid=30&tti=3&opi=300"
"Olesa de Montserrat","650","3","1","89","","Piso en Olesa De Montserrat / Olesa de Montserrat","Tipo de inmueble : Piso","Amueblado, Ascensor, Calefacción, Trastero","Anuncio Particular","#","","Alquilo piso amueblado con cocina y baño reformado ventanas de aluminio puertas robustas, y puerta blindada aire acondicionado frio y calor dos habitaciones dobles y una normal etc..","https://d.fotocasa.es/anuncio/2018/12/26/149454524/459736890.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2018/12/26/149454524/459736891.jpg/690x518/p_1","149454524","https://www.fotocasa.es/vivienda/olesa-de-montserrat/calefaccion-trastero-ascensor-amueblado-se-aceptan-mascotas-olesa-de-montserrat-149454524?RowGrid=1&tti=3&opi=300"
"Collbató","2300","3","2","230","","Chalet en Collbató / Collbató","Tipo de inmueble : Chalet, Estado : Buen estado, Agua caliente sanitaria : Gasóleo","Aire acondicionado, Armarios, Calefacción, Cocina Office, Electrodomésticos, Garaje Privado, Gres Cerámica, Horno, Jardín Privado, Lavadero, Patio, Piscina, Vistas a la montaña","Oficina Tecnica","932939518","Referencia : 148 Contacto: Oficina Tecnica","Preciosa torre de 230m2 en una planta,  en parcela de 1400m2  ubicada en la urbanización Can Dalmases de Collbató. Consta de:  Planta baja:    Recibidor   Salón-Comedor con dos ambientes, separados mediante puertas correderas.    Amplia  Cocina-Office  reformada, con salida a Jardín y piscina.    3 Habitaciones dobles con armarios empotrados.    2 Baños completos recién reformados. Planta Garaje:   Garaje con capacidad de 2 coches.   Lavadero   Acceso a Bodega.  Explendido  jardín totalmente acondionado. Dispone de  piscina,  barbacoa,  pérgola de madera, riego automático, depósito de aguas pluviales y excelentes vistas a Montserrat!! Zona tranquila a pocos metros de la A-2 .","https://d.inmofactory.com/1/90100/14986532/187315334.jpg/690x518/p_1, https://d.inmofactory.com/1/90100/14986532/187315211.jpg/690x518/p_1, https://d.inmofactory.com/1/90100/14986532/187315226.jpg/690x518/p_1, https://d.inmofactory.com/1/90100/14986532/187315325.jpg/690x518/p_1, https://d.inmofactory.com/1/90100/14986532/187315341.jpg/690x518/p_1, https://d.inmofactory.com/1/90100/14986532/187316435.jpg/690x518/p_1, https://d.inmofactory.com/1/90100/14986532/187316441.jpg/690x518/p_1, https://d.inmofactory.com/1/90100/14986532/187315269.jpg/690x518/p_1, https://d.inmofactory.com/1/90100/14986532/187315275.jpg/690x518/p_1, https://d.inmofactory.com/1/90100/14986532/187316448.jpg/690x518/p_1, https://d.inmofactory.com/1/90100/14986532/187316458.jpg/690x518/p_1, https://d.inmofactory.com/1/90100/14986532/187316479.jpg/690x518/p_1, https://d.inmofactory.com/1/90100/14986532/187320944.jpg/690x518/p_1, https://d.inmofactory.com/1/90100/14986532/187320910.jpg/690x518/p_1, https://d.inmofactory.com/1/90100/14986532/187320918.jpg/690x518/p_1, https://d.inmofactory.com/1/90100/14986532/187320926.jpg/690x518/p_1, https://d.inmofactory.com/1/90100/14986532/187320933.jpg/690x518/p_1, https://d.inmofactory.com/1/90100/14986532/187320948.jpg/690x518/p_1, https://d.inmofactory.com/1/90100/14986532/187320906.jpg/690x518/p_1, https://d.inmofactory.com/1/90100/14986532/187321065.jpg/690x518/p_1","147592442","https://www.fotocasa.es/vivienda/collbato/aire-acondicionado-calefaccion-parking-jardin-patio-piscina-collbato-147592442?RowGrid=2&tti=3&opi=300"
"Sant Esteve Sesrovires","1500","5","3","290","","Chalet en Sant Esteve Sesrovires / Sant Esteve Sesrovires","Tipo de inmueble : Chalet","Aire acondicionado, Amueblado, Calefacción, Cocina Office, Garaje Privado, Trastero","Finques Isavi","932753128","Referencia : 6020 Contacto: Finques Isavi","Se vende, se alquila o alquiler opcion a compra magnifica y espectacular casa a 4 vientos en zona inmejorable de Sant Esteve Sesrovires ( Urbanizacion Vallserat), consta de 4 plantas, 393m2 construidos y 298m2 utiles, varias terrazas, 5 habitaciones ( 3 dobles ( 1 de ellas suite con baño completo con plato de ducha+terraza solarium ) y 2 individuales), 3 baños completos (2 con plato de ducha y 1 con bañera) y 1 aseo, salon comedor amplio y luminoso con chimenea, cocina independiente completa con electrodomesticos, parcela de 931m2, suelo de gress, ventanas de aluminio climalit, puertas interiores de madera, amueblada, jardin privado, balcones, sotano con otra vivienda independiente que consta de cocina, comedor, 1 habitacion, sala maquinas y bodega, garage para 3 coches, trastero, aire acondicionado y calefaccion de gas natural. La distribucion es la siguiente:  Planta principal: recibidor, 1 habitacion individual, cocina, comedor, terraza 1planta: 3 habitaciones y 1 baño completo 2planta: 1 habitacion suite + baño completo + terraza solarium Garage: 3 coches, sala maquinas, bodega. Sotano: vivienda independiente con cocina, comedor, 1 hab Toda exterior y muy luminosa. Para entrar a vivir sobre el dia 15 de enero de 2019. Gran oportunidad No duden en llamar para mas informacion. LAS CONDICIONES DE ALQUILER CON OPCION A COMPRA SERIAN: 45000 € DE ENTRADA PRECIO ALQUILER MENSUAL: 1300€  A ESCRITURAR EN UN PLAZO MAXIMO DE 3 AÑOS ( el primer año a descontar el precio de alquiler el 100% el segundo año el 75% y el tercer año el 50%).","https://d.inmofactory.com/1/92826/16040365/210322939.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322940.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322941.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322942.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322943.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322944.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322945.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322946.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322947.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322948.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322949.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322950.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322951.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322952.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322953.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322954.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322955.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322956.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322957.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322958.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16040365/210322959.jpg/690x518/p_1","149306133","https://www.fotocasa.es/vivienda/sant-esteve-sesrovires/aire-acondicionado-calefaccion-parking-trastero-amueblado-sant-esteve-sesrovires-149306133?RowGrid=3&tti=3&opi=300"
"Martorell","1200","3","2","100","2ª","Piso en La Vila - Martorell / Martorell","Tipo de inmueble : Piso, Planta : 2ª planta, Estado : Muy buen estado, Antigüedad : Menos de 1 año","Amueblado, Balcón, Calefacción, Cocina Equipada, Electrodomésticos, Horno, Lavadero, Nevera, Suite - con baño, Terraza, TV","Mareus Sl","932938732","Referencia : 770 Contacto: Diaz, Yurena","PISO EN ALQUILER, AMUEBLADO, CON TODOS LOS ELECTRODOMÉSTICOS, TOTALMENTE REFORMADO EN 2018. CUENTA CON 3 HABITACIONES y 2 BAÑOS COMPLETOS. UNA DE LAS HABITACIONES ES SUITE CON UNA SUPERFICIE DE UNOS 20M² Y SALIDA A BALCÓN CERRADO. SALÓN COMEDOR CON SALIDA A TERRAZA DE 4M². DISPONE DE 6 CAMAS. CALEFACCIÓN. BIEN COMUNICADO. CERCA DE AUTOBÚS, FERROCARRILES Y EXCELENTE RED DE CARRETERAS. 2º SIN ASCENSOR. PRECIO NEGOCIABLE.","https://d.inmofactory.com/1/86905/13648704/201982637.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/13648704/201982569.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/13648704/201982691.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/13648704/201982618.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/13648704/201982729.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/13648704/201982600.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/13648704/201982513.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/13648704/201982709.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/13648704/201982506.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/13648704/201982717.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/13648704/201983284.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/13648704/201983292.jpg/690x518/p_1","148539058","https://www.fotocasa.es/vivienda/martorell/calefaccion-terraza-amueblado-television-martorell-148539058?RowGrid=4&tti=3&opi=300"
"Collbató","1000","4","1","140","","Chalet en Collbató / Collbató","Tipo de inmueble : Chalet","Aire acondicionado, Balcón, Calefacción, Cocina Office, Garaje Privado, Gres Cerámica, Jardín Privado, Piscina, Terraza, Vistas a la montaña","Alma House Servicios Inmobiliarios","932886918","Referencia : AL-163 Contacto: Alma House Servicios I...","Magnífica oportunidad de COMPRAR o ALQUILAR sólo con OPCIÓN A COMPRA una preciosa casa reformada en Collbató. La vivienda tiene 140 m2 y un terreno-jardín de 1.000 m2. La casa consta de 4 habitaciones, 1 baño y una cocina tipo office. Suelos interiores de gres y carpintería exterior de aluminio. La vivienda dispone de calefacción y aire acondicionado. Gran jardín con piscina, ideal para encuentros familiares o con amigos. Entorno idílico y buenas vistas. Llámanos y te informaremos con todo detalle... no pierdas ni un minuto !!!!","https://d.inmofactory.com/1/111281/15732960/204396503.jpg/690x518/p_1, https://d.inmofactory.com/1/111281/15732960/204396437.jpg/690x518/p_1, https://d.inmofactory.com/1/111281/15732960/204396407.jpg/690x518/p_1, https://d.inmofactory.com/1/111281/15732960/204396444.jpg/690x518/p_1, https://d.inmofactory.com/1/111281/15732960/204396494.jpg/690x518/p_1, https://d.inmofactory.com/1/111281/15732960/204396412.jpg/690x518/p_1, https://d.inmofactory.com/1/111281/15732960/204396492.jpg/690x518/p_1","148889710","https://www.fotocasa.es/vivienda/collbato/aire-acondicionado-calefaccion-parking-jardin-terraza-piscina-collbato-148889710?RowGrid=5&tti=3&opi=300"
"Esparreguera","900","","","90","","Planta baja en Esparreguera / Esparreguera","Tipo de inmueble : Planta baja","Aire acondicionado, Amueblado, Ascensor, Calefacción, Cocina Equipada, Cocina Office, Electrodomésticos, Gres Cerámica, Horno, Lavadero, Lavadora, Microondas, Parking comunitario, Puerta Blindada, Suite - con baño, Terraza","Paniello Finques","935435235","Referencia : 140-2018 Contacto: Paniello Finques","Planta Baja en alquiler, 90m2, 2 habitaciones individules pero grandes y 1 habitación doble suitte con baño de 3 piezas con ducha, 2 habitaciones individules pero grandes, baño completo de 3 piezas con bañera, cocina y salón comedor conn salida a terraza de unos 70m2. Tiene una habitación destinada a lavadero. Plaza de Parking muy amplia. Suelos de gres, calefaccion, aluminio y completamente equipado de muebles y electrodomésticos","https://d.inmofactory.com/1/104471/15976876/208737175.jpg/690x518/p_1, https://d.inmofactory.com/1/104471/15976876/208737704.jpg/690x518/p_1, https://d.inmofactory.com/1/104471/15976876/208737232.jpg/690x518/p_1, https://d.inmofactory.com/1/104471/15976876/208737213.jpg/690x518/p_1, https://d.inmofactory.com/1/104471/15976876/208737766.jpg/690x518/p_1, https://d.inmofactory.com/1/104471/15976876/208737771.jpg/690x518/p_1, https://d.inmofactory.com/1/104471/15976876/208737775.jpg/690x518/p_1, https://d.inmofactory.com/1/104471/15976876/208737187.jpg/690x518/p_1, https://d.inmofactory.com/1/104471/15976876/208737778.jpg/690x518/p_1, https://d.inmofactory.com/1/104471/15976876/208737782.jpg/690x518/p_1, https://d.inmofactory.com/1/104471/15976876/208737205.jpg/690x518/p_1, https://d.inmofactory.com/1/104471/15976876/208737785.jpg/690x518/p_1, https://d.inmofactory.com/1/104471/15976876/208737222.jpg/690x518/p_1, https://d.inmofactory.com/1/104471/15976876/208737229.jpg/690x518/p_1, https://d.inmofactory.com/1/104471/15976876/208737238.jpg/690x518/p_1","149202172","https://www.fotocasa.es/vivienda/esparreguera/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-parking-esparreguera-149202172?RowGrid=6&tti=3&opi=300"
